State,Start Date,Quarter,Colonies,Max Colonies,Lost,Percent Lost,Added,Renovated,Percent Renovated
New York,"October 1, 2023",October-December 2023,54000,58000,5000,9,420,1300,2
North Carolina,"October 1, 2023",October-December 2023,25000,27000,2900,11,430,500,2
North Dakota,"October 1, 2023",October-December 2023,360000,365000,8000,2,10000,7500,2
Ohio,"October 1, 2023",October-December 2023,13000,16000,1200,8,90,270,2
Oklahoma,"October 1, 2023",October-December 2023,1700,17500,100,1,10,20,(Z)
Oregon,"October 1, 2023",October-December 2023,107000,113000,6500,6,760,10000,9
Pennsylvania,"October 1, 2023",October-December 2023,25000,25000,2300,9,1300,820,3
South Carolina,"October 1, 2023",October-December 2023,15000,18000,1300,7,530,1200,7
South Dakota,"October 1, 2023",October-December 2023,182000,188000,2600,1,250,1400,1
Tennessee,"October 1, 2023",October-December 2023,12500,12500,1900,15,900,250,2
Texas,"October 1, 2023",October-December 2023,75000,220000,9500,4,400,480,(Z)
Utah,"October 1, 2023",October-December 2023,23000,23000,2700,12,390,20,(Z)
Vermont,"October 1, 2023",October-December 2023,6500,6500,90,1,500,,
Virginia,"October 1, 2023",October-December 2023,10500,10500,2100,20,170,450,4
Washington,"October 1, 2023",October-December 2023,80000,92000,19000,21,40,1700,2
West Virginia,"October 1, 2023",October-December 2023,8000,8000,930,12,2400,230,3
Wisconsin,"October 1, 2023",October-December 2023,49000,51000,6500,13,390,380,1
Wyoming,"October 1, 2023",October-December 2023,18500,18500,1700,(Z),20,,
Other States,"October 1, 2023",October-December 2023,5,22160,22160,3200,14,1680,4350
United States,"October 1, 2023",October-December 2023,2815960,(X),254520,9,118840,139300,5
Alabama,"January 1, 2024",January-March 2024,9500,11500,1600,14,2400,860,7
Arizona,"January 1, 2024",January-March 2024,26000,29000,1900,7,3300,670,2
Arkansas,"January 1, 2024",January-March 2024,16000,21000,1700,8,260,120,1
California,"January 1, 2024",January-March 2024,990000,1250000,210000,17,210000,135000,11
Colorado,"January 1, 2024",January-March 2024,5500,10500,370,4,200,,(Z)
Connecticut,"January 1, 2024",January-March 2024,3200,4000,100,3,120,,
Florida,"January 1, 2024",January-March 2024,310000,310000,24000,8,28000,10500,3
Georgia,"January 1, 2024",January-March 2024,117000,125000,28000,22,34000,2000,2
Idaho,"January 1, 2024",January-March 2024,195000,195000,23000,12,4200,760,(Z)
Illinois,"January 1, 2024",January-March 2024,10000,10000,2300,23,800,300,3
Indiana,"January 1, 2024",January-March 2024,8000,9500,410,4,510,,(Z)
Iowa,"January 1, 2024",January-March 2024,56000,59000,1900,3,2700,,(Z)
Kansas,"January 1, 2024",January-March 2024,2400,4000,270,7,170,10,(Z)
Kentucky,"January 1, 2024",January-March 2024,6500,6500,660,10,1100,10,(Z)
Louisiana,"January 1, 2024",January-March 2024,44000,44000,8500,19,5500,2300,5
Maine,"January 1, 2024",January-March 2024,1400,1400,300,21,400,140,10
Maryland,"January 1, 2024",January-March 2024,5000,5000,660,13,1700,920,18
Massachusetts,"January 1, 2024",January-March 2024,4800,4800,650,14,750,640,13
Michigan,"January 1, 2024",January-March 2024,67000,90000,3000,3,10,,
Minnesota,"January 1, 2024",January-March 2024,25000,85000,830,1,900,210,(Z)
Mississippi,"January 1, 2024",January-March 2024,28000,42000,3700,9,10500,1500,4
Missouri,"January 1, 2024",January-March 2024,9500,11000,1100,10,600,40,(Z)
Montana,"January 1, 2024",January-March 2024,36000,41000,50,(Z),60,,(Z)
Nebraska,"January 1, 2024",January-March 2024,17500,19500,1200,6,,,
New Jersey,"January 1, 2024",January-March 2024,12500,14500,1200,8,990,320,2
New Mexico,"January 1, 2024",January-March 2024,4300,4300,1200,28,10,,
New York,"January 1, 2024",January-March 2024,40000,40000,2300,6,140,350,1
North Carolina,"January 1, 2024",January-March 2024,25000,27000,5500,20,5000,3100,11
North Dakota,"January 1, 2024",January-March 2024,65000,78000,8500,11,,,
Ohio,"January 1, 2024",January-March 2024,15000,27000,2100,8,600,150,1
Oklahoma,"January 1, 2024",January-March 2024,17500,18000,2200,12,60,320,2
Oregon,"January 1, 2024",January-March 2024,90000,101000,8000,8,1300,5500,5
Pennsylvania,"January 1, 2024",January-March 2024,24000,26000,2800,11,130,600,2
South Carolina,"January 1, 2024",January-March 2024,14000,14000,870,6,2800,820,6
South Dakota,"January 1, 2024",January-March 2024,68000,78000,2000,3,40,50,(Z)
Tennessee,"January 1, 2024",January-March 2024,11500,11500,1700,15,830,170,1
Texas,"January 1, 2024",January-March 2024,200000,290000,28000,10,77000,46000,16
Utah,"January 1, 2024",January-March 2024,10000,17000,980,6,460,120,1
Vermont,"January 1, 2024",January-March 2024,7000,8000,230,3,70,20,(Z)
Virginia,"January 1, 2024",January-March 2024,7000,9500,1200,13,640,200,2
Washington,"January 1, 2024",January-March 2024,45000,107000,6500,6,3500,570,1
West Virginia,"January 1, 2024",January-March 2024,6000,7500,640,9,300,10,(Z)
Wisconsin,"January 1, 2024",January-March 2024,31000,55000,1600,3,600,120,(Z)
Wyoming,"January 1, 2024",January-March 2024,1900,13000,490,4,,10,(Z)
Other States,"January 1, 2024",January-March 2024,5,17350,18730,2610,14,1450,660
United States,"January 1, 2024",January-March 2024,2705350,(X),396820,15,404100,215070,8
Alabama,"April 1, 2024",April-June 2024,12500,13000,1300,10,2900,2700,21
Arizona,"April 1, 2024",April-June 2024,30000,32000,13500,42,18500,7000,22
Arkansas,"April 1, 2024",April-June 2024,19500,21000,2800,13,5000,430,2
