State,Quarter,Varroa Mites,Other Pests and Parasites,Diseases,Pesticides,Other,Unknown
Oregon,October-December 2024,45.8,1.1,(Z),3.9,(Z),1.6
Pennsylvania,October-December 2024,30.3,13.3,2.7,7.3,4.4,2.3
South Dakota,October-December 2024,12.6,(Z),1.1,19.7,0.6,0.8
Texas,October-December 2024,27.8,11.1,5.9,8.4,8.0,4.7
Washington,October-December 2024,34.5,14.3,4.5,3.8,0.7,11.8
Wisconsin,October-December 2024,24.4,0.7,6.9,(Z),1.7,4.9
Other States,October-December 2024,29.8,13.4,8.9,8.3,13.9,11.2
United States,October-December 2024,29.5,7.1,5.1,7.3,6.9,6.2
California,January-March 2025,38.4,7.6,8.7,7.6,7.3,8.3
Florida,January-March 2025,43.9,18.4,3.9,15.8,4.2,8.1
Georgia,January-March 2025,25.9,10.0,2.1,8.5,5.8,10.5
Idaho,January-March 2025,24.8,(Z),(Z),14.5,14.9,3.2
Iowa,January-March 2025,8.1,(Z),1.2,(Z),1.8,1.6
Louisiana,January-March 2025,23.0,11.3,,5.0,12.9,20.6
Michigan,January-March 2025,4.9,2.2,0.6,(Z),1.8,1.2
Minnesota,January-March 2025,6.9,1.3,(Z),0.6,1.4,1.4
Mississippi,January-March 2025,25.9,1.0,,9.3,3.4,12.8
Montana,January-March 2025,2.4,1.4,,0.5,(Z),0.6
New York,January-March 2025,29.2,3.6,1.9,1.1,6.0,17.2
North Carolina,January-March 2025,6.0,3.2,(Z),(Z),2.3,4.5
North Dakota,January-March 2025,21.2,(Z),2.1,,2.1,(Z)
Ohio,January-March 2025,24.0,4.5,(Z),0.9,10.6,5.0
Oregon,January-March 2025,27.2,,2.0,(Z),,2.0
Pennsylvania,January-March 2025,18.4,6.3,2.2,1.8,3.6,4.6
South Dakota,January-March 2025,3.2,3.1,1.6,0.9,0.7,0.5
Texas,January-March 2025,36.7,18.5,5.6,13.9,7.3,7.2
Washington,January-March 2025,24.0,0.6,1.9,0.5,6.2,0.7
Wisconsin,January-March 2025,17.5,0.5,(Z),,2.4,3.8
Other States,January-March 2025,21.9,10.2,4.4,5.4,9.4,8.9
United States,January-March 2025,29.9,8.2,4.7,7.5,6.6,7.1
California,April-June 2025,41.6,15.3,6.3,10.5,9.3,2.5
Florida,April-June 2025,20.1,7.4,2.7,3.1,8.4,1.2
Georgia,April-June 2025,20.0,7.5,1.0,1.9,2.4,17.0
Idaho,April-June 2025,27.2,19.3,2.4,5.6,4.7,(Z)
Iowa,April-June 2025,15.4,21.9,1.3,21.3,2.8,(Z)
Louisiana,April-June 2025,10.2,3.2,1.5,5.3,9.0,(Z)
Michigan,April-June 2025,9.0,5.2,(Z),(Z),8.0,0.5
Minnesota,April-June 2025,8.6,0.6,(Z),21.7,3.7,(Z)
Mississippi,April-June 2025,28.2,9.0,,(Z),11.8,12.4
Montana,April-June 2025,11.0,3.6,8.8,(Z),12.8,
New York,April-June 2025,14.7,2.1,0.8,(Z),2.4,1.0
North Carolina,April-June 2025,26.3,6.9,0.6,0.7,2.0,1.6
North Dakota,April-June 2025,36.8,22.3,3.5,10.6,1.2,1.4
Ohio,April-June 2025,39.3,17.7,1.7,7.0,13.6,2.4
Oregon,April-June 2025,10.2,(Z),6.6,10.7,13.8,1.0
Pennsylvania,April-June 2025,44.1,9.9,1.1,(Z),3.4,2.0
South Dakota,April-June 2025,15.0,1.4,(Z),,,(Z)
Texas,April-June 2025,17.0,8.0,7.0,6.8,2.0,4.8
Washington,April-June 2025,24.4,6.5,4.7,4.5,6.4,(Z)
Wisconsin,April-June 2025,12.3,16.0,(Z),4.7,1.5,12.3
Other States,April-June 2025,38.8,8.0,5.1,7.6,5.7,4.9
United States,April-June 2025,27.3,10.7,4.1,7.1,5.8,3.1
